category_slug,pid,product_slug,json_file,asin,updated_at
gaming-chairs,6c7cab22-8cba-11ed-a7ba-930ee103a0a2,neo-chair-office-chair-computer-desk-chair-gaming-ergonomic-mid-back-cushion-lumbar-support-with-wheels-comfortable-blue-mesh-racing-seat-adjustable-swivel-rolling-home-executive-black-0,output_json/gaming-chairs/raw/B08KSCDM47.raw.json,B08KSCDM47,2024-04-23 11:40:11.217270
gaming-chairs,0286d4ff-8cbb-11ed-a7ba-930ee103a0a2,gtplayer-gaming-chair-computer-with-footrest-and-lumbar-support-height-adjustable-with-360-swivel-seat-and-headrest-for-office-or-gaming-white-gtplayer,output_json/gaming-chairs/raw/B0BBPRZHRX.raw.json,B0BBPRZHRX,2024-04-23 11:40:22.799854
gaming-chairs,6c7cac6e-8cba-11ed-a7ba-930ee103a0a2,best-choice-products-swivel-gaming-chair-360-degree-multipurpose-floor-chair-rocker-for-tv-reading-playing-video-games-wlumbar-support-armrest-handles-adjustable-foldable-backrest-blackblue,output_json/gaming-chairs/raw/B08FCSNPV3.raw.json,B08FCSNPV3,2024-04-23 11:40:09.327378
gaming-chairs,6c7cac0a-8cba-11ed-a7ba-930ee103a0a2,homall-gaming-chair-office-chair-high-back-computer-chair-leather-desk-chair-racing-executive-ergonomic-adjustable-swivel-task-chair-with-headrest-and-lumbar-support-white,output_json/gaming-chairs/raw/B01MRZ02TL.raw.json,B01MRZ02TL,2024-04-23 11:39:56.720765
gaming-chairs,6c7cabba-8cba-11ed-a7ba-930ee103a0a2,lemberi-video-game-chairs-with-footrestgamer-chairbig-and-tall-gaming-chair-400lb-weight-capacitygaming-chairs-for-adults-teensracing-style-gaming-computer-chair-with-headrest-and-lumbar-support,output_json/gaming-chairs/raw/B09B3FJHHT.raw.json,B09B3FJHHT,2024-04-23 11:40:14.387861
gaming-chairs,02880f26-8cbb-11ed-a7ba-930ee103a0a2,the-crew-furniture-classic-video-rocker-the-crew-furniture,output_json/gaming-chairs/raw/B001T4XU2G.raw.json,B001T4XU2G,2024-04-23 11:39:54.830024
gaming-chairs,b57957d4-d2dc-11ee-9c7c-37d09b6bdb57,gtplayer-lr002-black-gaming-chair-black-gtplayer,output_json/gaming-chairs/raw/B0BSGMWNBB.raw.json,B0BSGMWNBB,2024-04-23 11:40:26.805460
gaming-chairs,6c7c4566-8cba-11ed-a7ba-930ee103a0a2,high-back-gaming-chair-pc-office-chair-racing-computer-chair-task-pu-desk-chair-ergonomic-swivel-rolling-chair-with-lumbar-support-headrest-for-back-pain-women-adults-gamer-white,output_json/gaming-chairs/raw/B07KJYY9BD.raw.json,B07KJYY9BD,2024-04-23 11:40:02.798976
gaming-chairs,6b5a4978-d2dd-11ee-9c7c-37d09b6bdb57,olixis-office-ergonomic-computer-gaming-desk-racing-chair-for-adults-flip-up-arms-adjustable-height-pu-leather-swivel-with-wheels-blue-olixis,output_json/gaming-chairs/raw/B0C5M62QDB.raw.json,B0C5M62QDB,2024-04-23 11:40:36.096181
gaming-chairs,08b444ee-d2de-11ee-9c7c-37d09b6bdb57,office-computer-gaming-desk-chair-ergonomic-mid-back-mesh-rolling-work-swivel-task-chairs-with-wheels-comfortable-lumbar-support-comfy-arms-for-home-bedroom-study-student-adults-grey-smug,output_json/gaming-chairs/raw/B0CCS1WKPW.raw.json,B0CCS1WKPW,2024-04-23 11:40:39.354862
gaming-chairs,02880f45-8cbb-11ed-a7ba-930ee103a0a2,gtplayer-gaming-chair-computer-chair-with-footrest-and-bluetooth-speakers-high-back-ergonomic-gaming-chair-reclining-gaming-chair-with-linkage-armrests-for-adults-green-gtplayer-0,output_json/gaming-chairs/raw/B0B8GKF2C7.raw.json,B0B8GKF2C7,2024-04-23 11:40:22.159166
gaming-chairs,6c7cabc9-8cba-11ed-a7ba-930ee103a0a2,x-rocker-eclipse-floor-rocker-gaming-chair-31-x-165-x-275-blacksilver,output_json/gaming-chairs/raw/B089B17Z21.raw.json,B089B17Z21,2024-04-23 11:40:07.374431
gaming-chairs,99adc3e4-d2de-11ee-9c7c-37d09b6bdb57,n-gen-video-gaming-computer-chair-ergonomic-office-chair-desk-chair-with-lumbar-support-flip-up-arms-adjustable-height-swivel-pu-leather-executive-with-wheels-for-adults-women-men-pink-neo-chair,output_json/gaming-chairs/raw/B0C6NDQ67P.raw.json,B0C6NDQ67P,2024-04-23 11:40:37.423248
gaming-chairs,2e003d82-459b-11ee-92e6-6d304ea26a0e,homall-gaming-chair-video-game-chair-with-footrest-and-massage-lumbar-support-ergonomic-computer-chair-height-adjustable-with-swivel-seat-and-headrest-white-homall,output_json/gaming-chairs/raw/B0C4Q7M3VC.raw.json,B0C4Q7M3VC,2024-04-23 11:40:34.072927
gaming-chairs,6c7cab52-8cba-11ed-a7ba-930ee103a0a2,dowinx-gaming-chair-office-chair-pc-chair-with-massage-lumbar-support-racing-style-pu-leather-high-back-adjustable-swivel-task-chair-with-footrest-blackred-2,output_json/gaming-chairs/raw/B07VXPWCN8.raw.json,B07VXPWCN8,2024-04-23 11:40:04.756903
gaming-chairs,49db1028-d2df-11ee-9c7c-37d09b6bdb57,n-gen-video-gaming-chair-with-footrest-high-back-ergonomic-comfortable-office-computer-desk-with-lumbar-support-height-adjustable-with-pu-leather-recliner-for-adults-women-men-black-neo-chair,output_json/gaming-chairs/raw/B0CLMHKRLW.raw.json,B0CLMHKRLW,2024-04-23 11:40:44.559691
gaming-chairs,3ab1ece1-8cba-11ed-a7ba-930ee103a0a2,bestoffice-pc-gaming-chair-ergonomic-office-chair-desk-chair-with-lumbar-support-flip-up-arms-headrest-pu-leather-executive-high-back-computer-chair-for-adults-women-men-black-and-white-0,output_json/gaming-chairs/raw/B01ICHJIM8.raw.json,B01ICHJIM8,2024-04-23 11:39:55.461489
gaming-chairs,bcf31146-d2df-11ee-9c7c-37d09b6bdb57,pc-gaming-chair-ergonomic-office-chair-desk-chair-pu-leather-executive-computer-chair-with-lumbar-support-armrest-for-adults-paylesshere,output_json/gaming-chairs/raw/B0CPSJZYQ5.raw.json,B0CPSJZYQ5,2024-04-23 11:40:45.832303
gaming-chairs,36ba9ada-d2e0-11ee-9c7c-37d09b6bdb57,gaming-chair-gamer-chair-for-adults-teens-silla-gamer-computer-chair-racing-ergonomic-pc-office-chair-blue-joyfly,output_json/gaming-chairs/raw/B09TSGMQ3G.raw.json,B09TSGMQ3G,2024-04-23 11:40:17.646061
gaming-chairs,02880f2d-8cbb-11ed-a7ba-930ee103a0a2,pukami-pink-gaming-chair-cute-kawaii-gaming-chair-for-girl-ergonomic-office-desk-chair-racing-office-chair-adjustable-high-back-chair-game-chair-swivel-leather-chair-with-lumbar-support-and-headrest-generic,output_json/gaming-chairs/raw/B093WQ7KSY.raw.json,B093WQ7KSY,2024-04-23 11:40:13.744525
gaming-chairs,02880fc5-8cbb-11ed-a7ba-930ee103a0a2,sitmod-gaming-chair-with-footrest-pc-computer-ergonomic-video-game-chair-backrest-and-seat-height-adjustable-swivel-task-chair-for-adults-with-headrest-and-lumbar-supportblack-fabric-sitmod,output_json/gaming-chairs/raw/B09ZTXWJHR.raw.json,B09ZTXWJHR,2024-04-23 11:40:19.642394
gaming-chairs,0b6030ba-d2e1-11ee-9c7c-37d09b6bdb57,dowinx-gaming-chair-fabric-with-pocket-spring-cushion-massage-game-chair-cloth-with-headrest-ergonomic-computer-chair-with-footrest-290lbs-black-dowinx,output_json/gaming-chairs/raw/B07V8RVY86.raw.json,B07V8RVY86,2024-04-23 11:40:04.116286
gaming-chairs,6ddfe7b2-d2e1-11ee-9c7c-37d09b6bdb57,sweetcrispy-computer-gaming-desk-chair-ergonomic-office-executive-adjustable-swivel-task-pu-leather-racing-chair-with-flip-up-armrest-for-adults-kids-men-girls-gamer-black-red-sweetcrispy,output_json/gaming-chairs/raw/B0C279NJS9.raw.json,B0C279NJS9,2024-04-23 11:40:32.065003
gaming-chairs,b5379a04-8cba-11ed-a7ba-930ee103a0a2,purple-gaming-chair-reclining-computer-chair-with-footrest-high-back-gamer-chair-with-massage-large-computer-gaming-chair-racing-style-desk-chair-for-gaming-big-and-tall-gaming-chairs-for-adults-brand-zeanus,output_json/gaming-chairs/raw/B08HCQNYNR.raw.json,B08HCQNYNR,2024-04-23 11:40:09.955436
gaming-chairs,6c7cab6b-8cba-11ed-a7ba-930ee103a0a2,gtracing-gaming-chair-with-footrest-speakers-video-game-chair-bluetooth-music-heavy-duty-ergonomic-computer-office-desk-chair-red,output_json/gaming-chairs/raw/B07QGY4VGK.raw.json,B07QGY4VGK,2024-04-23 11:40:03.449362
